时间,实际功率,NWP-110米预测风速,NWP-110米预测风向,NWP-低云量,NWP-中云量,NWP-高云量,NWP-总云量,NWP-总降水强度,NWP-温度,NWP-湿度,NWP-气压
2024/1/1 0:00,3.75,4.3448,119.4627,1.1455,-0.1873,43.4364,43.6482,0,-17.4955,78.7536,1014.9345
2024/1/1 0:15,5.54,4.5042,125.4709,1.15,-0.1918,45.2373,45.3909,0,-17.5273,78.7791,1014.7564
2024/1/1 0:30,1.88,4.6165,131.2518,1.1536,-0.1782,46.9709,47.0645,0,-17.5518,78.78,1014.5727
2024/1/1 0:45,3.84,4.7677,136.8427,1.1573,-0.1082,48.5645,48.6064,0,-17.5727,78.7718,1014.3909
2024/1/1 1:00,15.98,4.8965,142.0455,1.1609,0.0564,49.9527,49.9618,0,-17.5845,78.7327,1014.2064
2024/1/1 1:15,18.13,5.0645,146.8927,1.1645,0.3545,51.1227,51.1191,0,-17.5845,78.6582,1014.0182
2024/1/1 1:30,13.93,5.1752,151.41,1.1664,0.8391,52.1136,52.1091,0,-17.5745,78.5491,1013.8273
2024/1/1 1:45,12.77,5.2962,155.6364,1.1682,1.5764,52.9655,52.9645,0,-17.5555,78.4091,1013.6355
2024/1/1 2:00,6.88,5.5375,159.6118,1.17,2.6336,53.7173,53.7164,0,-17.5273,78.2436,1013.4427
2024/1/1 2:15,5.54,5.5813,163.3445,1.1709,4.0791,54.3918,54.38,0,-17.4909,78.0555,1013.25
2024/1/1 2:30,9.47,5.7307,166.8027,1.1709,5.89,54.9791,54.9536,0,-17.4464,77.8409,1013.0545
2024/1/1 2:45,14.56,5.8832,169.9436,1.1673,7.9536,55.4609,55.4355,0,-17.3927,77.5955,1012.8555
2024/1/1 3:00,20.63,5.9691,172.7236,1.16,10.1545,55.8209,55.8236,0,-17.3291,77.3109,1012.65
2024/1/1 3:15,14.02,6.0367,175.1227,1.1473,12.3582,56.0427,56.1164,0,-17.2564,76.9845,1012.4382
2024/1/1 3:30,11.88,6.3255,177.15,1.13,14.4609,56.1282,56.3136,0,-17.1745,76.6209,1012.2209
2024/1/1 3:45,9.91,6.4363,179.07,1.1073,16.4082,56.0964,56.4164,0,-17.0927,76.25,1012.0018
2024/1/1 4:00,11.07,6.5366,180.7764,1.0818,18.1464,55.9727,56.4291,0,-17.0091,75.8855,1011.7864
2024/1/1 4:15,12.23,6.6069,182.2745,1.0564,19.6055,55.7836,56.3636,0,-16.9255,75.5355,1011.5745
